feature name,raster name,raster group,band description,year,period,feature_area_ha,valid_pixel_area_ha,min,max,std,mean,p1,p5,p10,p25,p75,p90,p95,p99
IWT and Darwin innovation project,eii_soknot_ts_2000,unknown,comp,unknown,unknown,96800.3271,96538.05006,0.236793369,0.985668957,0.132956609,0.524629831,0.417703738,0.447314635,0.457843834,0.468598381,0.484079227,0.649294877,0.959065926,0.981368618
FLR - Amboseli,eii_soknot_ts_2000,unknown,comp,unknown,unknown,25138.82358,25144.9445,0.192991182,0.753266931,0.122729659,0.488252223,0.222783915,0.251525271,0.286096305,0.43779397,0.616624713,0.639688587,0.653471065,0.743815563
Siana Dispersal Area - More Space 4 Wildlife,eii_soknot_ts_2000,unknown,comp,unknown,unknown,64548.62886,63960.00828,0.416244715,0.979878902,0.099458888,0.498341918,0.436123484,0.459260315,0.463786185,0.468616903,0.481984645,0.492648959,0.741789758,0.973222613
OTTO - Support to Nasaru Conservancy,eii_soknot_ts_2000,unknown,comp,unknown,unknown,69697.25079,69332.78251,0.290219754,0.97440052,0.059619065,0.474962413,0.425081275,0.437202835,0.444345492,0.458120197,0.483592778,0.494617069,0.502951932,0.963814838
Land for Life,eii_soknot_ts_2000,unknown,comp,unknown,unknown,886805.3359,887395.6172,0.158315673,1,0.207620814,0.582174301,0.418926477,0.448399991,0.456702143,0.465884507,0.501699388,0.979327798,0.983209908,0.987281477
Pachyderm,eii_soknot_ts_2000,unknown,comp,unknown,unknown,807810.2672,808856.2193,0.004890621,1,0.202104092,0.8704108,0.428310126,0.446254671,0.465204418,0.954017162,0.984734833,0.98959589,0.991474628,0.993064284
MRC/MWCP,eii_soknot_ts_2000,unknown,comp,unknown,unknown,428082.6303,428429.7138,0.18942146,1,0.174647957,0.614636898,0.243673711,0.411198056,0.45444243,0.539649308,0.660611689,0.95819217,0.967646891,0.973517427
Harmony in Habitat (HIH) - Tsavo,eii_soknot_ts_2000,unknown,comp,unknown,unknown,660185.7824,660328.5369,0.234991342,0.999878705,0.268910468,0.751152396,0.390166646,0.393734032,0.397265756,0.439186648,0.986954868,0.993464899,0.995785517,0.99919273
"BMZ II (Olgulului GR, Kimana GR, Kimana - Nolturesh",eii_soknot_ts_2000,unknown,comp,unknown,unknown,308640.3885,309255.9271,0.173156857,0.987830579,0.064184934,0.465565145,0.239258447,0.401024342,0.416036516,0.448551029,0.477881879,0.497853339,0.617122829,0.653442359
Harmony in Habitat (HIH) - Mau,eii_soknot_ts_2000,unknown,comp,unknown,unknown,168550.7956,168973.7185,0.502266586,1,0.13350834,0.876754582,0.611435011,0.630444199,0.646043152,0.808179349,0.975249976,0.984501809,0.988400385,1
BMZ II (TZ),eii_soknot_ts_2000,unknown,comp,unknown,unknown,254278.8993,254343.8999,0.004890621,1,0.227573901,0.754151344,0.365718669,0.450693005,0.461157566,0.536514312,0.974976569,0.981355309,0.984227884,0.988524701
REDAA,eii_soknot_ts_2000,unknown,comp,unknown,unknown,99249.12992,99232.0383,0.408942044,0.671369076,0.016076863,0.475390315,0.457517754,0.466535634,0.469014692,0.47147271,0.477333874,0.478989822,0.480273235,0.484395913
IWT and Darwin innovation project,eii_soknot_ts_2000,unknown,struc,unknown,unknown,96800.3271,96538.05006,0.956582904,0.994084775,0.00802973,0.979734838,0.957848825,0.961197549,0.966510618,0.977371097,0.984954208,0.988153327,0.989818913,0.992058184
FLR - Amboseli,eii_soknot_ts_2000,unknown,struc,unknown,unknown,25138.82358,25144.9445,0.956996977,0.986299813,0.004815295,0.972694635,0.962466724,0.965071654,0.966656601,0.96983707,0.974853277,0.979487395,0.981142628,0.984903169
Siana Dispersal Area - More Space 4 Wildlife,eii_soknot_ts_2000,unknown,struc,unknown,unknown,64548.62886,63960.00828,0.835162163,0.978931904,0.027778734,0.92825222,0.851638401,0.876296997,0.891775012,0.910540998,0.95027566,0.960494399,0.964924991,0.969588566
OTTO - Support to Nasaru Conservancy,eii_soknot_ts_2000,unknown,struc,unknown,unknown,69697.25079,69332.78251,0.886630237,0.992718339,0.027372669,0.9678002,0.890346694,0.909431362,0.924451029,0.951256931,0.988721132,0.990739405,0.991496921,0.99227783
Land for Life,eii_soknot_ts_2000,unknown,struc,unknown,unknown,886805.3359,887395.6172,0.877739072,0.996423304,0.007320455,0.983218789,0.961684889,0.969823927,0.974496067,0.979531556,0.987725854,0.991687536,0.993316442,0.995533168
Pachyderm,eii_soknot_ts_2000,unknown,struc,unknown,unknown,807810.2672,808856.2193,0.825688422,0.993504524,0.029085763,0.953430474,0.869056458,0.895206559,0.913190114,0.936714172,0.975055099,0.98748523,0.990034878,0.992611089
MRC/MWCP,eii_soknot_ts_2000,unknown,struc,unknown,unknown,428082.6303,428429.7138,0.592003763,0.986760378,0.071598589,0.849109352,0.645385903,0.7088624,0.741049862,0.812084928,0.898293823,0.924171227,0.946006331,0.974400608
Harmony in Habitat (HIH) - Tsavo,eii_soknot_ts_2000,unknown,struc,unknown,unknown,660185.7824,660328.5369,0.802952111,0.996575654,0.03644561,0.96403271,0.838546033,0.880663216,0.908643723,0.951257408,0.988736272,0.993664563,0.995169413,0.996107225
"BMZ II (Olgulului GR, Kimana GR, Kimana - Nolturesh",eii_soknot_ts_2000,unknown,struc,unknown,unknown,308640.3885,309255.9271,0.956996977,0.995412171,0.006566009,0.985742211,0.967065156,0.972260714,0.975018501,0.982978642,0.989742398,0.993855774,0.994698167,0.995271134
Harmony in Habitat (HIH) - Mau,eii_soknot_ts_2000,unknown,struc,unknown,unknown,168550.7956,168973.7185,0.72204566,0.985595167,0.065779939,0.891221523,0.730659783,0.752767429,0.784822553,0.85356386,0.942153484,0.964008331,0.974248409,0.983890295
BMZ II (TZ),eii_soknot_ts_2000,unknown,struc,unknown,unknown,254278.8993,254343.8999,0.731323659,0.99167484,0.054689541,0.915056884,0.793752885,0.817641997,0.830184543,0.877230048,0.963952512,0.982493401,0.986511844,0.990149224
REDAA,eii_soknot_ts_2000,unknown,struc,unknown,unknown,99249.12992,99232.0383,0.964030027,0.993981898,0.00751526,0.977628708,0.964594569,0.96640383,0.968317878,0.972258091,0.983264506,0.989168131,0.991167545,0.993093319
IWT and Darwin innovation project,eii_soknot_ts_2000,unknown,func,unknown,unknown,96800.3271,96538.05006,0.703777969,1,0.090602323,0.875387013,0.719892693,0.737695754,0.748411477,0.789845347,0.947142482,1,1,1
FLR - Amboseli,eii_soknot_ts_2000,unknown,func,unknown,unknown,25138.82358,25144.9445,0.750859976,1,0.066512369,0.947231889,0.754048076,0.795990872,0.836822569,0.924691141,1,1,1,1
Siana Dispersal Area - More Space 4 Wildlife,eii_soknot_ts_2000,unknown,func,unknown,unknown,64548.62886,63960.00828,0.921187639,1,0.007441923,0.99886167,0.953912354,0.999208033,0.999804497,1,1,1,1,1
OTTO - Support to Nasaru Conservancy,eii_soknot_ts_2000,unknown,func,unknown,unknown,69697.25079,69332.78251,0.859892309,1,0.022295689,0.991756499,0.89314878,0.938556027,0.965844297,1,1,1,1,1
Land for Life,eii_soknot_ts_2000,unknown,func,unknown,unknown,886805.3359,887395.6172,0.71318996,1,0.045168418,0.978054762,0.793420219,0.878880382,0.907642925,0.986502588,1,1,1,1
Pachyderm,eii_soknot_ts_2000,unknown,func,unknown,unknown,807810.2672,808856.2193,0.811305285,1,0.014523236,0.997160912,0.919496119,0.988016903,1,1,1,1,1,1
MRC/MWCP,eii_soknot_ts_2000,unknown,func,unknown,unknown,428082.6303,428429.7138,0.937120378,1,0.003094779,0.999775469,0.997876748,1,1,1,1,1,1,1
Harmony in Habitat (HIH) - Tsavo,eii_soknot_ts_2000,unknown,func,unknown,unknown,660185.7824,660328.5369,0.701619446,1,0.061277419,0.961040974,0.757499681,0.837173045,0.866704905,0.927043438,1,1,1,1
"BMZ II (Olgulului GR, Kimana GR, Kimana - Nolturesh",eii_soknot_ts_2000,unknown,func,unknown,unknown,308640.3885,309255.9271,0.65539223,1,0.081512518,0.923663676,0.729672079,0.757767576,0.782615089,0.876908839,1,1,1,1
Harmony in Habitat (HIH) - Mau,eii_soknot_ts_2000,unknown,func,unknown,unknown,168550.7956,168973.7185,0.324633867,1,0.085234888,0.950846314,0.533855394,0.830324903,0.846580923,0.923997849,1,1,1,1
BMZ II (TZ),eii_soknot_ts_2000,unknown,func,unknown,unknown,254278.8993,254343.8999,0.591816306,1,0.069400184,0.974314213,0.646587042,0.831620431,0.911057228,0.999023855,1,1,1,1
REDAA,eii_soknot_ts_2000,unknown,func,unknown,unknown,99249.12992,99232.0383,0.555754185,1,0.101617105,0.821185708,0.577503828,0.668365997,0.694928205,0.739041418,0.897887915,0.963469326,0.99319095,1
IWT and Darwin innovation project,eii_soknot_ts_2000,unknown,eii,unknown,unknown,96800.3271,96538.05006,0.233387426,0.984816432,0.13202858,0.53087461,0.435527647,0.449375868,0.456524491,0.465095937,0.507229507,0.675017893,0.952269793,0.977314043
FLR - Amboseli,eii_soknot_ts_2000,unknown,eii,unknown,unknown,25138.82358,25144.9445,0.183090732,0.77813679,0.131690606,0.503811359,0.216809319,0.249751568,0.28665061,0.444115222,0.644737959,0.664679229,0.670613718,0.77008944
Siana Dispersal Area - More Space 4 Wildlife,eii_soknot_ts_2000,unknown,eii,unknown,unknown,64548.62886,63960.00828,0.428798467,0.966978252,0.095363811,0.516158164,0.44844861,0.47515583,0.481349975,0.486853778,0.502055824,0.512398362,0.751791596,0.957541132
OTTO - Support to Nasaru Conservancy,eii_soknot_ts_2000,unknown,eii,unknown,unknown,69697.25079,69332.78251,0.290352285,0.912134409,0.051344723,0.496929884,0.446452146,0.457566911,0.466843134,0.481343687,0.508291185,0.521337402,0.530085897,0.89340539
Land for Life,eii_soknot_ts_2000,unknown,eii,unknown,unknown,886805.3359,887395.6172,0.142249092,0.986578941,0.188923553,0.59588784,0.439260155,0.471757305,0.479142582,0.48928228,0.530884981,0.971884131,0.979391706,0.984739995
Pachyderm,eii_soknot_ts_2000,unknown,eii,unknown,unknown,807810.2672,808856.2193,0.001015949,0.992369354,0.183766469,0.854980588,0.44923991,0.467147321,0.486956805,0.892445862,0.966933548,0.980436921,0.986016393,0.989822149
MRC/MWCP,eii_soknot_ts_2000,unknown,eii,unknown,unknown,428082.6303,428429.7138,0.175764233,0.94814527,0.141138464,0.593339562,0.230595772,0.414598361,0.459285301,0.51921463,0.654907793,0.834338057,0.888097948,0.918087509
Harmony in Habitat (HIH) - Tsavo,eii_soknot_ts_2000,unknown,eii,unknown,unknown,660185.7824,660328.5369,0.231032878,0.996917725,0.237082183,0.727843165,0.399260156,0.408205134,0.412701565,0.458187222,0.945470363,0.975987542,0.984821475,0.99584159
"BMZ II (Olgulului GR, Kimana GR, Kimana - Nolturesh",eii_soknot_ts_2000,unknown,eii,unknown,unknown,308640.3885,309255.9271,0.160048351,0.923718274,0.06875433,0.480353326,0.23448318,0.409339887,0.432481158,0.459138319,0.497695059,0.521439528,0.647619307,0.678889678
Harmony in Habitat (HIH) - Mau,eii_soknot_ts_2000,unknown,eii,unknown,unknown,168550.7956,168973.7185,0.33066678,0.960856438,0.11181327,0.809345305,0.548859984,0.61466527,0.630689532,0.734619528,0.901563153,0.933325827,0.942413419,0.956149161
BMZ II (TZ),eii_soknot_ts_2000,unknown,eii,unknown,unknown,254278.8993,254343.8999,0.001015823,0.977878034,0.19802931,0.729937911,0.36718721,0.445679814,0.462675011,0.552352771,0.918156341,0.950133306,0.960216907,0.972285977
REDAA,eii_soknot_ts_2000,unknown,eii,unknown,unknown,99249.12992,99232.0383,0.420769691,0.697172403,0.024389666,0.4745574,0.424758697,0.444742656,0.450132185,0.460963637,0.486386642,0.496108097,0.501820636,0.50634946
IWT and Darwin innovation project,eii_soknot_ts_2005,unknown,comp,unknown,unknown,96800.3271,96538.05006,0.244687855,0.988020599,0.178753242,0.564785182,0.43511481,0.460723391,0.466589487,0.476569444,0.518148184,0.958844709,0.975860542,0.985444287
FLR - Amboseli,eii_soknot_ts_2005,unknown,comp,unknown,unknown,25138.82358,25144.9445,0.195438296,0.963065624,0.238244042,0.5919348,0.229454336,0.266772801,0.404815149,0.446318567,0.936508119,0.951395512,0.955073774,0.961732526
Siana Dispersal Area - More Space 4 Wildlife,eii_soknot_ts_2005,unknown,comp,unknown,unknown,64548.62886,63960.00828,0.416003853,0.979878902,0.097340375,0.510193586,0.431978846,0.466022283,0.475143343,0.481398404,0.494806916,0.506027281,0.720493674,0.976670527
OTTO - Support to Nasaru Conservancy,eii_soknot_ts_2005,unknown,comp,unknown,unknown,69697.25079,69332.78251,0.297640026,0.97440052,0.060321756,0.479037017,0.378775572,0.437393731,0.448284358,0.461478233,0.487828046,0.500648105,0.509988439,0.963814838
Land for Life,eii_soknot_ts_2005,unknown,comp,unknown,unknown,886805.3359,887395.6172,0.162769228,0.994450271,0.204293013,0.587717891,0.420371044,0.454158157,0.463225216,0.474768549,0.50982219,0.979484916,0.983210683,0.987281477
Pachyderm,eii_soknot_ts_2005,unknown,comp,unknown,unknown,807810.2672,808856.2193,0.004890621,1,0.205029637,0.869772136,0.427744359,0.446841896,0.463313252,0.954782426,0.984735906,0.989606857,0.991474628,0.993064284
MRC/MWCP,eii_soknot_ts_2005,unknown,comp,unknown,unknown,428082.6303,428429.7138,0.205610141,1,0.182571471,0.619657695,0.244893687,0.428467488,0.466385084,0.543730378,0.602110744,0.962209821,0.968912166,0.973521196
Harmony in Habitat (HIH) - Tsavo,eii_soknot_ts_2005,unknown,comp,unknown,unknown,660185.7824,660328.5369,0.245205462,0.999878705,0.266653568,0.757835329,0.390370505,0.394634923,0.398170924,0.447983235,0.986966908,0.993473399,0.995830131,0.999197661
"BMZ II (Olgulului GR, Kimana GR, Kimana - Nolturesh",eii_soknot_ts_2005,unknown,comp,unknown,unknown,308640.3885,309255.9271,0.174626306,0.993492007,0.123019658,0.49324429,0.243178251,0.414782584,0.429466933,0.456704497,0.49049148,0.510780692,0.940507948,0.962178099
Harmony in Habitat (HIH) - Mau,eii_soknot_ts_2005,unknown,comp,unknown,unknown,168550.7956,168973.7185,0.501833141,1,0.131998897,0.877037585,0.613401651,0.63316083,0.649800569,0.809113905,0.975249976,0.984501809,0.988400385,1
BMZ II (TZ),eii_soknot_ts_2005,unknown,comp,unknown,unknown,254278.8993,254343.8999,0.004890621,1,0.23022379,0.779008031,0.365473246,0.451995817,0.461777961,0.518399417,0.975003794,0.981355309,0.984227884,0.988524701
REDAA,eii_soknot_ts_2005,unknown,comp,unknown,unknown,99249.12992,99232.0383,0.318748832,0.526278794,0.011501296,0.482215375,0.468630574,0.471283901,0.472093266,0.475105166,0.486416698,0.493590909,0.501625645,0.520827534
IWT and Darwin innovation project,eii_soknot_ts_2005,unknown,struc,unknown,unknown,96800.3271,96538.05006,0.948864698,0.993782938,0.008798576,0.97818917,0.952316599,0.957989001,0.96404494,0.976214945,0.983583748,0.987009585,0.988866079,0.991705543
FLR - Amboseli,eii_soknot_ts_2005,unknown,struc,unknown,unknown,25138.82358,25144.9445,0.946765959,0.980625629,0.004792441,0.970618844,0.954085605,0.962815142,0.964485455,0.968115628,0.973476112,0.975957334,0.976956892,0.978760641
Siana Dispersal Area - More Space 4 Wildlife,eii_soknot_ts_2005,unknown,struc,unknown,unknown,64548.62886,63960.00828,0.834864676,0.978710651,0.027822858,0.927789688,0.851219928,0.875582695,0.891168773,0.909796596,0.949957311,0.960264146,0.964277208,0.96936506
OTTO - Support to Nasaru Conservancy,eii_soknot_ts_2005,unknown,struc,unknown,unknown,69697.25079,69332.78251,0.882996619,0.992312968,0.027956184,0.966820538,0.887184637,0.906837058,0.923006225,0.94943881,0.988172591,0.99027921,0.991052485,0.991846375
Land for Life,eii_soknot_ts_2005,unknown,struc,unknown,unknown,886805.3359,887395.6172,0.850606799,0.996319592,0.008304527,0.9817276,0.957938802,0.964235216,0.971236408,0.978502691,0.986679554,0.990027785,0.992128283,0.995272928
Pachyderm,eii_soknot_ts_2005,unknown,struc,unknown,unknown,807810.2672,808856.2193,0.808362246,0.992864072,0.030138241,0.951308191,0.859377873,0.892144942,0.911419117,0.933348835,0.973595321,0.986318982,0.989460826,0.992053597
MRC/MWCP,eii_soknot_ts_2005,unknown,struc,unknown,unknown,428082.6303,428429.7138,0.529936314,0.986511946,0.071659073,0.835750043,0.635117285,0.698704252,0.732689905,0.797955811,0.886593804,0.910091561,0.928022093,0.973696322
Harmony in Habitat (HIH) - Tsavo,eii_soknot_ts_2005,unknown,struc,unknown,unknown,660185.7824,660328.5369,0.804615557,0.99610287,0.036682878,0.962641358,0.834764585,0.878304207,0.907222521,0.950564682,0.98733902,0.992850769,0.994536161,0.995570414
"BMZ II (Olgulului GR, Kimana GR, Kimana - Nolturesh",eii_soknot_ts_2005,unknown,struc,unknown,unknown,308640.3885,309255.9271,0.946765959,0.995155036,0.006880327,0.985276043,0.96523484,0.971428156,0.974211931,0.982624471,0.989389956,0.993654251,0.994447768,0.995003271
Harmony in Habitat (HIH) - Mau,eii_soknot_ts_2005,unknown,struc,unknown,unknown,168550.7956,168973.7185,0.650832534,0.962126255,0.079877123,0.843518198,0.656020775,0.68176195,0.716259599,0.794246241,0.907292426,0.933581114,0.949975073,0.958662927
BMZ II (TZ),eii_soknot_ts_2005,unknown,struc,unknown,unknown,254278.8993,254343.8999,0.725522459,0.987654507,0.055266567,0.912439644,0.786830173,0.814149284,0.826931083,0.874842793,0.961815447,0.980154598,0.985183895,0.987279809
REDAA,eii_soknot_ts_2005,unknown,struc,unknown,unknown,99249.12992,99232.0383,0.962725639,0.993732512,0.007882901,0.976644218,0.963389134,0.965346098,0.967038083,0.970907748,0.982774854,0.988863695,0.990891242,0.99283632
IWT and Darwin innovation project,eii_soknot_ts_2005,unknown,func,unknown,unknown,96800.3271,96538.05006,0.703777969,1,0.090602323,0.875387013,0.719892693,0.737695754,0.748411477,0.789845347,0.947142482,1,1,1
FLR - Amboseli,eii_soknot_ts_2005,unknown,func,unknown,unknown,25138.82358,25144.9445,0.750859976,1,0.066512369,0.947231889,0.754048076,0.795990872,0.836822569,0.924691141,1,1,1,1
Siana Dispersal Area - More Space 4 Wildlife,eii_soknot_ts_2005,unknown,func,unknown,unknown,64548.62886,63960.00828,0.921187639,1,0.007441923,0.99886167,0.953912354,0.999208033,0.999804497,1,1,1,1,1
OTTO - Support to Nasaru Conservancy,eii_soknot_ts_2005,unknown,func,unknown,unknown,69697.25079,69332.78251,0.859892309,1,0.022295689,0.991756499,0.89314878,0.938556027,0.965844297,1,1,1,1,1
Land for Life,eii_soknot_ts_2005,unknown,func,unknown,unknown,886805.3359,887395.6172,0.71318996,1,0.045168418,0.978054762,0.793420219,0.878880382,0.907642925,0.986502588,1,1,1,1
Pachyderm,eii_soknot_ts_2005,unknown,func,unknown,unknown,807810.2672,808856.2193,0.811305285,1,0.014523236,0.997160912,0.919496119,0.988016903,1,1,1,1,1,1
MRC/MWCP,eii_soknot_ts_2005,unknown,func,unknown,unknown,428082.6303,428429.7138,0.937120378,1,0.003094779,0.999775469,0.997876748,1,1,1,1,1,1,1
Harmony in Habitat (HIH) - Tsavo,eii_soknot_ts_2005,unknown,func,unknown,unknown,660185.7824,660328.5369,0.701619446,1,0.061277419,0.961040974,0.757499681,0.837173045,0.866704905,0.927043438,1,1,1,1
"BMZ II (Olgulului GR, Kimana GR, Kimana - Nolturesh",eii_soknot_ts_2005,unknown,func,unknown,unknown,308640.3885,309255.9271,0.65539223,1,0.081512518,0.923663676,0.729672079,0.757767576,0.782615089,0.876908839,1,1,1,1
Harmony in Habitat (HIH) - Mau,eii_soknot_ts_2005,unknown,func,unknown,unknown,168550.7956,168973.7185,0.324633867,1,0.085234888,0.950846314,0.533855394,0.830324903,0.846580923,0.923997849,1,1,1,1
BMZ II (TZ),eii_soknot_ts_2005,unknown,func,unknown,unknown,254278.8993,254343.8999,0.591816306,1,0.069400184,0.974314213,0.646587042,0.831620431,0.911057228,0.999023855,1,1,1,1
REDAA,eii_soknot_ts_2005,unknown,func,unknown,unknown,99249.12992,99232.0383,0.555754185,1,0.101617105,0.821185708,0.577503828,0.668365997,0.694928205,0.739041418,0.897887915,0.963469326,0.99319095,1
IWT and Darwin innovation project,eii_soknot_ts_2005,unknown,eii,unknown,unknown,96800.3271,96538.05006,0.242925555,0.984755218,0.172803029,0.568643868,0.450914323,0.457702547,0.463443041,0.475830495,0.535244524,0.950401187,0.960278928,0.976015043
FLR - Amboseli,eii_soknot_ts_2005,unknown,eii,unknown,unknown,25138.82358,25144.9445,0.185776472,0.956305206,0.232206821,0.598860919,0.225179626,0.261766928,0.417091513,0.454994828,0.926937938,0.946595967,0.949368799,0.954509006
Siana Dispersal Area - More Space 4 Wildlife,eii_soknot_ts_2005,unknown,eii,unknown,unknown,64548.62886,63960.00828,0.428450376,0.966608405,0.093094394,0.528369308,0.446573371,0.481108457,0.492926985,0.500163853,0.516216457,0.525104523,0.74359113,0.960834837
OTTO - Support to Nasaru Conservancy,eii_soknot_ts_2005,unknown,eii,unknown,unknown,69697.25079,69332.78251,0.298505664,0.909029484,0.052256294,0.501074731,0.389736075,0.459319782,0.470619422,0.482679725,0.513348043,0.526464748,0.537657535,0.890432382
Land for Life,eii_soknot_ts_2005,unknown,eii,unknown,unknown,886805.3359,887395.6172,0.146409735,0.986512482,0.184661746,0.6013785,0.440431427,0.477836549,0.487160617,0.498649359,0.53761512,0.970830023,0.979270709,0.984654603
Pachyderm,eii_soknot_ts_2005,unknown,eii,unknown,unknown,807810.2672,808856.2193,0.001015937,0.991877913,0.186276853,0.852751195,0.44929108,0.467753172,0.485544235,0.892962337,0.966082513,0.979822457,0.985468626,0.989526033
MRC/MWCP,eii_soknot_ts_2005,unknown,eii,unknown,unknown,428082.6303,428429.7138,0.195548579,0.941896141,0.141099826,0.590567112,0.23146388,0.429125482,0.471650809,0.519213527,0.606935412,0.83676964,0.882871866,0.907384794
Harmony in Habitat (HIH) - Tsavo,eii_soknot_ts_2005,unknown,eii,unknown,unknown,660185.7824,660328.5369,0.242804706,0.996577084,0.234410375,0.733290195,0.399899979,0.408574876,0.413895917,0.466141969,0.945746571,0.97444731,0.984161627,0.995503279
"BMZ II (Olgulului GR, Kimana GR, Kimana - Nolturesh",eii_soknot_ts_2005,unknown,eii,unknown,unknown,308640.3885,309255.9271,0.161604822,0.985753298,0.11997202,0.506575227,0.239840622,0.426423603,0.445769596,0.467071563,0.510840535,0.536807406,0.923653501,0.959288493
Harmony in Habitat (HIH) - Mau,eii_soknot_ts_2005,unknown,eii,unknown,unknown,168550.7956,168973.7185,0.328501582,0.948703647,0.106826551,0.780269563,0.543884605,0.604677662,0.621537536,0.676558942,0.870147705,0.903695107,0.915717781,0.936619759
BMZ II (TZ),eii_soknot_ts_2005,unknown,eii,unknown,unknown,254278.8993,254343.8999,0.001015813,0.976409853,0.201946944,0.748811662,0.370745426,0.445250957,0.464093238,0.533504039,0.926096812,0.9486817,0.95898014,0.97121638
REDAA,eii_soknot_ts_2005,unknown,eii,unknown,unknown,99249.12992,99232.0383,0.32489714,0.542832077,0.023306498,0.481294572,0.429257147,0.447190514,0.454042208,0.463837102,0.495188549,0.513058734,0.520518684,0.533799655
IWT and Darwin innovation project,eii_soknot_ts_2010,unknown,comp,unknown,unknown,96800.3271,96538.05006,0.231950849,0.985668957,0.157523811,0.539862573,0.424753352,0.456576914,0.463352728,0.470627233,0.504884928,0.94897871,0.97033512,0.98266066
FLR - Amboseli,eii_soknot_ts_2010,unknown,comp,unknown,unknown,25138.82358,25144.9445,0.190001741,0.963065624,0.238987863,0.566544771,0.223095597,0.254298133,0.270922178,0.437399119,0.778849185,0.951395512,0.955073774,0.961732526
Siana Dispersal Area - More Space 4 Wildlife,eii_soknot_ts_2010,unknown,comp,unknown,unknown,64548.62886,63960.00828,0.408234268,0.979878902,0.099436127,0.505309224,0.424842292,0.458272994,0.468817979,0.475732416,0.490129262,0.500352502,0.723936141,0.976670527
OTTO - Support to Nasaru Conservancy,eii_soknot_ts_2010,unknown,comp,unknown,unknown,69697.25079,69332.78251,0.294682384,0.97440052,0.061081722,0.473674953,0.359858575,0.433728105,0.444111806,0.455872416,0.481561184,0.495458782,0.50613364,0.963814838
Land for Life,eii_soknot_ts_2010,unknown,comp,unknown,unknown,886805.3359,887395.6172,0.160111859,0.994450271,0.205092281,0.582132459,0.406423944,0.449623942,0.45885393,0.469608396,0.504390597,0.979225814,0.983176887,0.987276423
Pachyderm,eii_soknot_ts_2010,unknown,comp,unknown,unknown,807810.2672,808856.2193,0.004890621,1,0.202478856,0.871388912,0.426344723,0.44646883,0.463889211,0.9546507,0.984737158,0.989607394,0.991484821,0.99307698
MRC/MWCP,eii_soknot_ts_2010,unknown,comp,unknown,unknown,428082.6303,428429.7138,0.203503937,1,0.176766634,0.610442042,0.238363152,0.416656822,0.462273675,0.544809073,0.597965389,0.961347246,0.968878311,0.973521196
Harmony in Habitat (HIH) - Tsavo,eii_soknot_ts_2010,unknown,comp,unknown,unknown,660185.7824,660328.5369,0.24259536,0.999878705,0.267315507,0.756771743,0.390361813,0.394572219,0.398072767,0.446413547,0.986954868,0.993464899,0.995785517,0.99919273
"BMZ II (Olgulului GR, Kimana GR, Kimana - Nolturesh",eii_soknot_ts_2010,unknown,comp,unknown,unknown,308640.3885,309255.9271,0.177786916,0.987830579,0.116045207,0.482545048,0.234630707,0.40136984,0.42028147,0.451660931,0.485028386,0.507057965,0.576867759,0.959372926
Harmony in Habitat (HIH) - Mau,eii_soknot_ts_2010,unknown,comp,unknown,unknown,168550.7956,168973.7185,0.502885818,1,0.131828085,0.869940639,0.615367144,0.63659589,0.651251704,0.809330836,0.975195557,0.984382153,0.988371134,1
BMZ II (TZ),eii_soknot_ts_2010,unknown,comp,unknown,unknown,254278.8993,254343.8999,0.004890621,1,0.234505713,0.763524711,0.319563236,0.447550468,0.459773111,0.515527338,0.975003794,0.981355309,0.984227884,0.988524701
REDAA,eii_soknot_ts_2010,unknown,comp,unknown,unknown,99249.12992,99232.0383,0.312681884,0.626843452,0.012370496,0.477029741,0.460011626,0.466287661,0.467220813,0.470208794,0.480134428,0.488786048,0.495599127,0.51372474
IWT and Darwin innovation project,eii_soknot_ts_2010,unknown,struc,unknown,unknown,96800.3271,96538.05006,0.945209801,0.992383122,0.008824395,0.976133704,0.949522805,0.956162441,0.962334025,0.974176168,0.981254816,0.985300195,0.987424594,0.990302839
FLR - Amboseli,eii_soknot_ts_2010,unknown,struc,unknown,unknown,25138.82358,25144.9445,0.947836816,0.976911008,0.004519701,0.968248188,0.951529818,0.959976184,0.962273061,0.9659217,0.971120417,0.973054051,0.973922718,0.975042038
Siana Dispersal Area - More Space 4 Wildlife,eii_soknot_ts_2010,unknown,struc,unknown,unknown,64548.62886,63960.00828,0.832575321,0.975948155,0.027725367,0.925062716,0.848846388,0.873081744,0.888597786,0.907128811,0.947111726,0.957425594,0.961578667,0.966563582
OTTO - Support to Nasaru Conservancy,eii_soknot_ts_2010,unknown,struc,unknown,unknown,69697.25079,69332.78251,0.879009604,0.990727961,0.028596504,0.964604139,0.883493841,0.903880739,0.919853818,0.946776748,0.986425042,0.988694656,0.989442599,0.990241127
Land for Life,eii_soknot_ts_2010,unknown,struc,unknown,unknown,886805.3359,887395.6172,0.847653985,0.996246994,0.009301406,0.980355918,0.954550266,0.960475802,0.967750609,0.977127314,0.985918522,0.989440322,0.991689831,0.994879061
Pachyderm,eii_soknot_ts_2010,unknown,struc,unknown,unknown,807810.2672,808856.2193,0.796440542,0.992314816,0.03228293,0.947922409,0.849127431,0.885105217,0.905933404,0.927767813,0.972282171,0.985677516,0.988987625,0.991610451
